,precision,recall,f1-score,support
Bacterialblight,1.0,1.0,1.0,199.0
Blast,1.0,0.9652777777777778,0.9823321554770318,144.0
Brownspot,0.972972972972973,1.0,0.9863013698630136,180.0
Tungro,1.0,1.0,1.0,197.0
accuracy,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9930555555555556
macro avg,0.9932432432432432,0.9913194444444444,0.9921583813350113,720.0
weighted avg,0.9932432432432433,0.9930555555555556,0.9930417735611597,720.0
